"filename", "language", "Python", "Skill", "YAML", "Markdown", "JSON", "JavaScript", "Ruby", "Lua", "Properties", "TypeScript", "C++", "PostCSS", "Handlebars", "Shell Script", "Diff", "XML", "HTML", "JSON with Comments", "Docker", "toml", "Java Properties", "Makefile", "MS SQL", "Ini", "reStructuredText", "Batch", "comment", "blank", "total"
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\.github\ISSUE_TEMPLATE\1_broken_site.md", "Markdown", 0, 0, 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -33, -14, -64
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\.github\ISSUE_TEMPLATE\2_site_support_request.md", "Markdown", 0, 0, 0, -18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -23, -14, -55
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\.github\ISSUE_TEMPLATE\3_site_feature_request.md", "Markdown", 0, 0, 0, -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -17, -10, -38
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\.github\ISSUE_TEMPLATE\4_bug_report.md", "Markdown", 0, 0, 0, -18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -34, -14, -66
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\.github\ISSUE_TEMPLATE\5_feature_request.md", "Markdown", 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -17, -10, -39
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\.github\ISSUE_TEMPLATE\6_question.md", "Markdown", 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -17, -10, -39
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\.github\ISSUE_TEMPLATE\config.yml", "YAML", 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\.github\ISSUE_TEMPLATE_tmpl\1_broken_site.md", "Markdown", 0, 0, 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -33, -14, -64
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\.github\ISSUE_TEMPLATE_tmpl\2_site_support_request.md", "Markdown", 0, 0, 0, -18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -23, -14, -55
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\.github\ISSUE_TEMPLATE_tmpl\3_site_feature_request.md", "Markdown", 0, 0, 0, -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -17, -10, -38
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\.github\ISSUE_TEMPLATE_tmpl\4_bug_report.md", "Markdown", 0, 0, 0, -18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -34, -14, -66
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\.github\ISSUE_TEMPLATE_tmpl\5_feature_request.md", "Markdown", 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -17, -10, -39
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\.github\PULL_REQUEST_TEMPLATE.md", "Markdown", 0, 0, 0, -22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -31
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\.github\workflows\ci.yml", "YAML", 0, 0, -434, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -42, -7, -483
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\CONTRIBUTING.md", "Markdown", 0, 0, 0, -286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -149, -435
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -103, 0, 0, 0, 0, -4, -29, -136
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\README.md", "Markdown", 0, 0, 0, -1178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -403, -1581
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\devscripts\SizeOfImage.patch", "Diff", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\devscripts\SizeOfImage_w.patch", "Diff", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\devscripts\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\devscripts\bash-completion.py", "Python", -21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -10, -34
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\devscripts\buildserver.py", "Python", -332, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -97, -434
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\devscripts\check-porn.py", "Python", -38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -14, -61
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\devscripts\cli_to_api.py", "Python", -44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -17, -23, -84
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\devscripts\create-github-release.py", "Python", -87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -23, -112
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\devscripts\fish-completion.py", "Python", -35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -14, -51
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\devscripts\generate_aes_testdata.py", "Python", -30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14, -44
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\devscripts\gh-pages\add-version.py", "Python", -36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -12, -49
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\devscripts\gh-pages\generate-download.py", "Python", -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -9, -30
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\devscripts\gh-pages\sign-versions.py", "Python", -27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -7, -35
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\devscripts\gh-pages\update-copyright.py", "Python", -18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -7, -27
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\devscripts\gh-pages\update-feed.py", "Python", -67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -14, -82
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\devscripts\gh-pages\update-sites.py", "Python", -25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -12, -39
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\devscripts\lazy_load_template.py", "Python", -13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -6, -20
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\devscripts\make_contributing.py", "Python", -20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -12, -33
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\devscripts\make_issue_template.py", "Python", -16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -10, -27
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\devscripts\make_lazy_extractors.py", "Python", -98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, -26, -132
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\devscripts\make_readme.py", "Python", -22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -32
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\devscripts\make_supportedsites.py", "Python", -32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -14, -48
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\GithubAPI\python_repos\youtube-dl\devscripts\posix-locale.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -3, -7
