Date : 2026-06-02 13:34:27
Directory : c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\aiohttp
Total : 328 files,  85382 codes, 9164 comments, 27154 blanks, all 121700 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |        167 |     67,017 |      7,501 |     17,224 |     91,742 |
| reStructuredText |        118 |     14,485 |      1,331 |      9,615 |     25,431 |
| YAML             |         18 |      1,274 |         47 |        119 |      1,440 |
| XML              |          7 |      1,042 |          8 |          6 |      1,056 |
| JSON             |          3 |        672 |          0 |          7 |        679 |
| Makefile         |          2 |        290 |         15 |         68 |        373 |
| Batch            |          1 |        212 |          1 |         30 |        243 |
| pip requirements |          1 |         98 |        202 |          2 |        302 |
| HTML             |          1 |         94 |          0 |          9 |        103 |
| Markdown         |          3 |         75 |         32 |         41 |        148 |
| Properties       |          1 |         58 |         25 |         12 |         95 |
| Ini              |          1 |         35 |          0 |          4 |         39 |
| Docker           |          1 |         11 |          0 |          5 |         16 |
| C++              |          1 |         10 |          0 |          5 |         15 |
| PostCSS          |          1 |          6 |          0 |          2 |          8 |
| Shell Script     |          2 |          3 |          2 |          5 |         10 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                |        328 |     85,382 |      9,164 |     27,154 |    121,700 |
| . (Files)                                                                                                                                                                        |         12 |      5,386 |         66 |      3,927 |      9,379 |
| .github                                                                                                                                                                          |         16 |      1,123 |         74 |        126 |      1,323 |
| .github (Files)                                                                                                                                                                  |          7 |        125 |         58 |         45 |        228 |
| .github\ISSUE_TEMPLATE                                                                                                                                                           |          3 |        211 |          1 |         27 |        239 |
| .github\workflows                                                                                                                                                                |          6 |        787 |         15 |         54 |        856 |
| CHANGES                                                                                                                                                                          |         75 |        291 |          6 |        118 |        415 |
