Date : 2026-06-12 13:49:12
Directory : c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations
Total : 4815 files,  -652342 codes, -28019 comments, -63543 blanks, all -743904 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| YAML               |         58 |        803 |        153 |         58 |      1,014 |
| Properties         |          1 |         12 |          0 |          5 |         17 |
| Docker             |          1 |          3 |          0 |          3 |          6 |
| CSV                |          4 |        -20 |          0 |         -1 |        -21 |
| Ini                |          1 |        -36 |          0 |         -2 |        -38 |
| Shell Script       |          8 |        -38 |         12 |         -9 |        -35 |
| JSON with Comments |          1 |       -108 |          0 |          0 |       -108 |
| PostCSS            |          8 |       -160 |         -1 |        -36 |       -197 |
| XML                |         66 |       -699 |         -1 |        -74 |       -774 |
| Markdown           |        215 |     -1,398 |        -42 |        -39 |     -1,479 |
| SCSS               |          8 |     -1,959 |         -4 |       -371 |     -2,334 |
| HTML               |        113 |     -5,941 |        -53 |       -502 |     -6,496 |
| JavaScript         |        627 |    -66,242 |     -1,866 |     -7,328 |    -75,436 |
| Python             |      2,590 |   -247,294 |    -26,217 |    -54,574 |   -328,085 |
| JSON               |      1,114 |   -329,265 |          0 |       -673 |   -329,938 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                                                                                                                   |      4,815 |   -652,342 |    -28,019 |    -63,543 |   -743,904 |
| . (Files)                                                                                                                                                                                                                                                                                           |          9 |        611 |         29 |        231 |        871 |
| ..                                                                                                                                                                                                                                                                                                  |      4,728 |   -658,296 |    -28,530 |    -64,615 |   -751,441 |
| ..\erpnext                                                                                                                                                                                                                                                                                          |      4,728 |   -658,296 |    -28,530 |    -64,615 |   -751,441 |
